page,productranking,price,name,rating,numofratings,prime,bestseller,amazonchoice
2,29,$17.97,"Bluetooth Headphones, Wireless Earbuds for Running, Noise Cancelling Headsets for Workout, Sports Earphones Bluetooth 5.0 with Mic, Best Beats Waterproof Cordless Sports Ear Buds for Gym Jogging",4.0 out of 5 stars,"34,500",1,0,0
2,30,$399.00,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",3.9 out of 5 stars,374,1,0,0
3,31,$16.99,iJoy Matte Finish Premium Rechargeable Wireless Headphones Bluetooth Over Ear Headphones Foldable Headset with Mic (Stealth),4.1 out of 5 stars,"7,165",1,0,0
3,32,$349.00,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR â€“ Black",4.4 out of 5 stars,"3,594",1,0,0
3,33,$13.99,Elecder i39 Headphones with Microphone Foldable Lightweight Adjustable On Ear Headsets with 3.5mm Jack for iPad Cellphones Computer MP3/4 Kindle Airplane School (Mint/Gray),4.4 out of 5 stars,724,1,0,0
3,34,$89.99,"COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30 Hours Playtime for Travel/Work/Cellphone, Black",4.3 out of 5 stars,"5,045",1,0,0
3,35,$49.99,TOZO T10 Bluetooth 5.0 Wireless Earbuds with ã€êWireless Charging Caseã€‘ IPX8 Waterproof TWS Stereo Headphones in-Ear Built-in Mic Headset Premium Sound with Deep Bass for Sport,4.4 out of 5 stars,"13,356",1,0,0
3,36,$32.99,Picun P26 Bluetooth Headphones Over Ear 40H Playtime Hi-Fi Stereo Wireless Headphones Girl Deep Bass Foldable Wired/Wireless/TF for Phone/TV Bluetooth 5.0 Wireless Earphones with Mic Women (Rose Gold),4.4 out of 5 stars,"1,083",1,0,0
3,37,$7.99,"Earphones, Earbuds, in-Ear Headphones Noise Isolation Headsets Heavy Bass Earphones with Microphone Compatible iPhone Samsung iPad and Most Android Phones M12",5.0 out of 5 stars,16,1,0,0
3,38,$199.00,"Bose SoundSport Free, True Wireless Sport Headphones, (Sweatproof Bluetooth Headphones for Workouts), Midnight Blue / Citron",3.8 out of 5 stars,"3,558",1,0,0
3,39,$159.95,"AfterShokz Aeropex Open-Ear Wireless Bone Conduction Headphones with Sport Belt, Lunar Grey",4.4 out of 5 stars,201,1,0,0
3,40,$39.99,"Over Ear Headphone, Wired Premium Stereo Sound Headsets with 50mm Driver, Foldable Comfortable Headphones with Protein Earmuffs and Shareport for Recording Monitoring Podcast PC TV- with Mic (Silver)",4.4 out of 5 stars,487,1,0,0
3,41,$48.95,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black",4.4 out of 5 stars,"1,246",1,0,0
3,42,$19.99,Anntuk Bluetooth Headphones- Wireless in-Ear Headphones -Running Headphones for Women Men-Sport Bluetooth Earphones-Best Sport Wireless Earbuds-Outdoor Portable Bluetooth Earphones,5.0 out of 5 stars,"1,116",1,0,0
3,43,$19.95,"Bluetooth Headphones, Letsfit Wireless Headphones, IPX7 Waterproof Sports Earphones Gym Running, HD Stereo Headset w/Mic, 8 Hours Battery Noise Cancelling Bluetooth Earbuds",4.3 out of 5 stars,"3,693",1,0,0
3,44,$7.98,Wired Earbuds with Microphone and Volume Control - in Ear Headphones Wired Ear Buds - Earphones with Microphone Mic Extra Bass - Compatible with Apple iPhone Ipad Samsung Galaxy Sony 3.5mm,5.0 out of 5 stars,16,1,0,0
3,45,$16.99,"Mpow CH6 [2019 New Version] Kids Headphones Over-Ear/On-Ear, HD Sound Sharing Function Headphones for Children Boys Girls, Volume Limited Safe Foldable Headset W/Mic for School/PC/Cellphone",4.4 out of 5 stars,673,1,0,0
3,46,$12.99,"Betron B25 Noise Isolating in Ear Canal Headphones Earphones with Pure Sound and Powerful Bass for iPhone, iPad, iPod, Samsung Smartphones and Tablets (Black Without Remote)",4.2 out of 5 stars,781,1,0,0
4,47,$118.99,"Skullcandy Crusher Bluetooth Wireless Over-Ear Headphone with Microphone, Noise Isolating Memory Foam, Adjustable and Immersive Stereo Haptic Bass, Rapid Charge 40-Hour Battery Life, Black",4.2 out of 5 stars,"2,444",1,0,0
