category,price,name,rating,numofratings
Audio Headphones,$14.97,"Headphones with Microphone Wired On Ear Stereo Bass Headphone for Computer, Tablet Ipad Cell Phones MP3 School, Comfortable Lightweight Folding Adjustable fit Tangle Free 1.5m Cord with 3.5mm Jack",4.6 out of 5 stars,255
Audio Headphones,$49.99,TOZO T10 Bluetooth 5.0 Wireless Earbuds with 【Wireless Charging Case】 IPX8 Waterproof TWS Stereo Headphones in-Ear Built-in Mic Headset Premium Sound with Deep Bass for Sport,4.3 out of 5 stars,"5,529"
Audio Headphones,$349.00,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",4.4 out of 5 stars,"3,034"
Audio Headphones,$0.00,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"4,847"
Audio Headphones,$11.99,Elecder i37 Kids Headphones Children Girls Boys Teens Foldable Adjustable On Ear Headphones 3.5mm Jack Compatible iPad Cellphones Computer MP3/4 Kindle Airplane School Tablet Purple/Green,4.5 out of 5 stars,"1,201"
Audio Headphones,$32.99,Fedciory Bluetooth Headphones- Wireless in-Ear Headphones Fedciory-F627-Running Headphones for Women Men-Sport Bluetooth Earphones-Best Sport Wireless Earbuds,5.0 out of 5 stars,227
Audio Headphones,$59.95,"Active Noise Cancelling Headphones, Boltune Bluetooth 5.0 Over Ear Wireless Headphones with Mic Deep Bass, Comfortable Protein Earpads 30H Playtime for Travel Work TV PC Cellphone",4.5 out of 5 stars,592
Audio Headphones,$32.99,Picun P26 Bluetooth Headphones Over Ear 40H Playtime Hi-Fi Stereo Wireless Headphones Girl Deep Bass Foldable Wired/Wireless/TF for Phone/TV Bluetooth 5.0 Wireless Earphones with Mic Women (Rose Gold),4.4 out of 5 stars,708
Audio Headphones,$19.99,"Mpow Flame Bluetooth Headphones Waterproof IPX7, Wireless Earbuds Sport, Richer Bass HiFi Stereo in-Ear Earphones w/Case, 7-9 Hrs Playback, Noise Cancelling Microphone (Comfy & Fast Pairing), Red",4.2 out of 5 stars,"15,311"
Audio Headphones,$9.99,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),4.2 out of 5 stars,"1,858"
